模組,項目名稱,說明,分類
直接修補項目（第一階段）,登入狀態記錄加上安全屬性（Session Cookie 安全防護）,"針對登入狀態與階段作業記錄之 Cookie 進行安全屬性強化，防止 Cookie 遭未授權存取或側錄。
- 於 Session Cookie 標頭強制加上 Secure、HttpOnly 與 SameSite=Lax 安全屬性。
- 防範 XSS 跨站腳本攻擊讀取敏感 Cookie，並確保僅能透過 HTTPS 加密通道傳輸。
- 配合全站強制 HTTPS 加密連線機制，確保管理者與使用者登入流程順暢無誤。
- 預估工時：0.5 人天。
- 對應弱點：加密的階段作業 (SSL) Cookie 中遺漏安全屬性（報告項次 5）。",系統
直接修補項目（第一階段）,對外連結安全性調整（防範 Tabnabbing 偽冒攻擊）,"全站共用版型與各前台頁面之對外超連結安全性補強，消除釣魚及視窗劫持風險。
- 清查並修改全站共用版型中所有帶有 target=""_blank"" 的外部鏈結（共 15 處），全面增設 rel=""noopener noreferrer"" 屬性。
- 阻斷新分頁存取來源頁面之 window.opener 物件，防止惡意第三方網站串改父分頁網址或釣魚偽冒。
- 一次調整即涵蓋弱點掃描報告檢出之全部 110 筆頁面弱點。
- 預估工時：0.5 人天。
- 對應弱點：不安全的第三方鏈結 (target=""_blank"")（報告項次 1）。",系統
直接修補項目（第一階段）,文章內文既有連結檢查與批次調整（待確認項目）,"針對資料庫中已發布之歷史文章內文進行外部超連結清查與安全性補強。
- 針對編輯後台富文本編輯器存入之 HTML 內容進行資料庫掃描與盤點。
- 針對文章內文自行插入之外部超連結，批次補上 rel=""noopener noreferrer"" 安全屬性。
- 此項目須待正式站資料庫清點確認後方能決定是否執行；若經查核內文無外部連結或無需處理則可直接扣除此項工時。
- 預估工時：1.0 人天（待確認項目）。
- 對應弱點：不安全的第三方鏈結 (target=""_blank"")（報告項次 1）。",系統
直接修補項目（第一階段）,網址產生方式改為固定網域（防範主機標頭注入）,"重構全站動態網址與社群分享標籤（Open Graph）之網域產生邏輯，消除 Host Header 注入風險。
- 將動態由 HTTP Request Header 讀取 Host 之邏輯改為綁定固定白名單網域（news.secom.com.tw），不再信任瀏覽器或代理伺服器傳入之 Host 標頭。
- 清理原始程式碼中殘留的舊測試網域與歷史環境設定。
- 修正集中於 1 個共用版型檔案及 4 支核心產生程式，涵蓋掃描報告檢出之全部 110 筆頁面。
- 完整驗證前台頁面、Canonical URL 及 Facebook / LINE 等社群分享時之標題、縮圖與網址正確性。
- 預估工時：1.0 人天。
- 對應弱點：主機標頭注入（報告項次 2）。",系統
直接修補項目（第一階段）,移除多餘的外部載入資源（降低外部相依與 SRI 風險）,"清理前台不再使用或重複載入之第三方外部靜態資源，縮小攻擊面並降低 SRI 檢出項目。
- 移除外部 CDN 多餘載入之圖示資源（因網站前端已內建同一套完整圖示字型）。
- 移除舊版 Universal Analytics 流量統計追蹤碼（Google 已於 2023 年停止服務之舊制代碼，現已全面由 GTM 承接）。
- 減少頁面外部相依與連線延遲，提升頁面載入效能。
- 預估工時：0.5 人天。
- 對應弱點：檢查是否有 SRI（子資源完整性）支援（報告項次 3 中可移除資源）。",系統
直接修補項目（第一階段）,跨來源開啟與資源政策標頭設定（COOP / CORP）,"配置現代化跨來源安全 HTTP 回應標頭，強化瀏覽器端沙盒隔離保護。
- 配置 Cross-Origin-Opener-Policy: same-origin (COOP) 標頭，隔離頂層瀏覽上下文，防止其他來源視窗透過 DOM 操作或側信道攻擊存取資料。
- 配置 Cross-Origin-Resource-Policy: same-origin / cross-origin (CORP) 標頭，精確控制站內圖片、腳本與靜態資源的跨來源載入權限。
- 進行前台全功能相容性回歸驗證，確保不影響既有正常業務與使用者體驗。
- 預估工時：0.5 人天。
- 對應弱點：缺少或不安全的 Cross-Origin-Opener-Policy (COOP) 標頭（報告項次 7）、缺少或不安全的跨來源資源政策（CORP）標頭（報告項次 8）。",系統
前端套件升級（第一階段）,前台 JavaScript 函式庫升級（jQuery 3.7.1）,"升級前台核心 JavaScript 函式庫，消除已知 CVE 安全漏洞。
- 將前台使用的 jQuery 1.12.4 升級至最新穩定版本 jQuery 3.7.1。
- 修正舊版本所存在之多項已知 Cross-Site Scripting (XSS) 等資安弱點。
- 調整相依前端 JavaScript 程式碼與套件語法相容性（如 event 綁定、ajax 呼叫等）。
- 執行全站前台互動模組、輪播、選單及表單功能之回歸測試。
- 後台管理介面維持現狀沿用原版本，不增加後台升級風險。
- 預估工時：1.5 人天。
- 對應弱點：有弱點的元件 - jQuery 1.12.4（報告項次 4）。",系統
前端套件升級（第一階段）,前台版面框架套件升級（Bootstrap 3.4.1 方案）,"升級前台 UI 版面框架至安全版本，清除所有已知框架弱點（建議方案一）。
- 將前台 Bootstrap 3.3.6 升級至 Bootstrap 3.4.1。
- 採相容替換式升級，前台版面結構與 CSS 樣式完全相容不變。
- 完整清除報告指向之 6 項 CVE 弱點（包含 CVE-2018-14040、CVE-2018-14041、CVE-2018-14042、CVE-2018-20676 等 XSS 漏洞）。
- 執行各主要版面斷點、折疊面板、彈出提示等 UI 元件功能驗證。
- 預估工時：1.5 人天。
- 對應弱點：有弱點的元件 - Bootstrap 3.3.6（報告項次 4）。",系統
前端套件升級（第一階段）,後台登入頁舊版套件分離與安全處理,"針對對外公開之後台登入介面進行套件隔離與最小化載入處理。
- 後台登入頁無需登入即可存取，容易被弱點掃描器偵測到後台舊版前端資源（包含舊版 Bootstrap 3.3.2）。
- 調整登入頁面載入邏輯，移除後台完整前端互動套件包，僅保留純登入表單必要之 CSS 樣式。
- 徹底消除公開頁面之舊版元件檢出，同時避免動到後台內部深層功能，大幅降低專案成本與改版風險。
- 預估工時：0.5 人天。
- 對應弱點：有弱點的元件 - Bootstrap 3.3.2 登入頁檢出（報告項次 4）。",系統
跨來源嵌入政策 COEP（第二階段）,導入 COEP 政策與全站相容性驗證（改善計畫）,"導入跨來源嵌入政策（Cross-Origin-Embedder-Policy），並執行全站外嵌資源逐頁相容性調校。
- 配置 Cross-Origin-Embedder-Policy: require-corp (COEP) 標頭，確保網站僅能載入明確聲明授權之外部資源。
- 圖片站設定：圖片主機與網站在同一伺服器，由我方自行於設定檔加上 Cross-Origin-Resource-Policy: cross-origin 標頭，並逐路徑實測回應。
- 逐頁相容性實測與調整：
  • 文章封面之影音外嵌（YouTube 播放器）。
  • 社群分享與互動外掛（Facebook / LINE 外掛元件）。
  • 流量統計與追蹤工具之無腳本（No-Script）嵌入區塊。
  • 盤點並清查資料庫文章內文是否包含指向外部第三方主機之圖片，避免被瀏覽器阻擋。
- 因需在測試站進行全面性逐頁實測，建議列入第二階段交付並配合提供書面改善計畫書，兼顧系統穩定性。
- 預估工時：2.5 人天。
- 對應弱點：缺少或不安全的 Cross-Origin-Embedder-Policy（COEP）標頭（報告項次 6）。",系統
測試部署與複測配合,測試站部署、上線驗證、複測配合與修補報告撰寫,"專案全階段之測試環境建置、正式站上線部署、資安複測配合及佐證報告產出。
- 涵蓋第一階段（1.0 人天）與第二階段（1.0 人天）之部署與驗證工程。
- 建立測試站環境、部署修補程式碼並執行全站功能整合與相容性測試。
- 正式環境更新部署、上線後即時監控與全站功能驗證。
- 配合資安檢測廠商進行複測作業，提供各項目修補前後之 HTTP 標頭、程式碼與畫面比對佐證資料。
- 撰寫弱點修補完成報告與回覆客戶處理狀況說明文件。
- 備註：若客戶複測後提出非本專案修補範圍之新需求或退件，工時另計。
- 預估工時：2.0 人天。",系統
