模組,項目,分類,說明,頁面欄位
帳號權限,後台登入,後台,"管理者與顧問登入系統後台之身分驗證介面。
- 以公司配發之帳號密碼登入，不開放公開註冊。
- 系統依據登入者角色（管理者／顧問）自動切換可檢視與操作之資料範圍。
- 具備密碼錯誤防護與登入狀態保持機制。","- 帳號（Email）
- 密碼
- 登入按鈕"
帳號權限,員工帳號管理,後台,"管理者建立與管理內部員工（顧問）與管理者之帳號資料。
- 新增、編輯、啟用／停用帳號。
- 設定帳號角色（管理者／顧問）。
- 停用之帳號將立即無法登入後台。
- 管理者可直接重設任一顧問之專屬表單連結。","#### 員工列表
- 員工姓名
- 帳號（Email）
- 角色權限（管理者／顧問）
- 帳號狀態（啟用／停用）
- 建立日期
- 操作按鈕（編輯／停用／啟用／重設專屬連結）
#### 編輯帳號彈窗
- 員工姓名
- 帳號（Email）
- 登入密碼
- 角色選擇（管理者／顧問）
- 狀態切換（啟用／停用）"
帳號權限,權限隔離與存取控管,系統,"後台資料存取之角色權限控管邏輯。
- 管理者角色：擁有全系統最高權限，可查看所有表單、全部求職者名冊、所有員工帳號、操作稽核紀錄，並具備表單作廢與軟刪除權限。
- 顧問角色：僅能存取與檢視由自己專屬連結所發出之表單資料與對應之求職者歷程，嚴格隔離他人客戶資料，無法查看員工管理與稽核紀錄。",
表單填寫,逐題填寫模式,頁面,"求職者透過手機開啟專屬連結進行填寫之導引式表單介面。
- 採一題一題向下填寫之步驟引導，每題皆有清楚說明與格式檢查。
- 系統自動依連結綁定發送之顧問識別碼，求職者無須手動填寫介紹人。
- 最適合手機操作，有效避免漏填與格式錯誤。
- 填寫完成後可直接簽名並引導至預覽確認。","#### 顧問資訊
- 服務顧問名稱（系統自動帶入）
#### 文件說明
- 文件標題
- 條款內容簡介
#### 填寫欄位
- 求職者姓名
- 身分證字號
- 聯絡電話
- 電子信箱（選填，用於接收簽署完成 PDF 副本）
- 條款同意勾選框
- 電子簽名板（手寫簽名）
- 前往預覽確認按鈕"
表單填寫,文件檢視填寫模式,頁面,"求職者直接檢視完整文件版面之填寫介面。
- 完整呈現如同紙本合約之文件版面與條款內容。
- 求職者可邊閱讀條款邊點擊文件上的空格輸入欄位資料。
- 適合重視文件完整感與條款細節之使用者。
- 填寫完成後於簽名區完成電子簽名並引導至預覽確認。","#### 文件版面與欄位
- 完整合約／同意書條款內容排版
- 服務顧問名稱（系統自動帶入）
- 求職者姓名輸入格
- 身分證字號輸入格
- 聯絡電話輸入格
- 電子信箱輸入格（選填）
- 各項條款同意確認勾選框
- 電子簽名板（手寫簽名）
- 前往預覽確認按鈕"
表單填寫,線上電子簽名,系統,"手寫電子簽名畫布與存證機制。
- 支援求職者使用手指或觸控筆於螢幕上直接簽名，提供清除重簽功能。
- 一次簽名自動全份套用：若文件有多處需要簽名（例如每頁頁尾、各條款末），系統自動套用同一份簽名，求職者無須重複簽署。
- 簽署存證紀錄：簽署時系統自動記錄精確簽署時間（Timestamp）、客戶端 IP 位址及裝置資訊（Device／User Agent），供後續法務存證。",
表單填寫,送出前預覽,頁面,"表單正式送出前的完整確認介面。
- 完整渲染呈現包含已填欄位資料與電子簽名圖檔之正式文件。
- 提供求職者於送出前再次核對所有內容。
- 核對無誤後點擊送出；若有需修改處可返回前一步驟編輯。
- 提供選填 Email 欄位提示，送出後將自動寄送 PDF 副本給求職者留存。","#### 預覽區塊
- 完整文件版面預覽（套入已填資料與電子簽名）
- 留存副本 Email 確認（選填）
- 返回修改按鈕
- 確認送出按鈕"
表單填寫,填寫完成,頁面,"求職者確認送出後的完成提示頁面。
- 提示表單已成功送出並完成線上簽署。
- 若填表時有填寫 Email，顯示已寄送 PDF 副本之提示訊息。
- 感謝詞與相關注意事項說明。","#### 完成提示
- 簽署成功狀態圖示與標題
- 完成說明文案（提示已存檔及 Email 副本寄送狀態）
- 諮詢顧問聯絡提示"
表單填寫,表單鎖定機制,系統,"表單送出後之防篡改鎖定邏輯。
- 求職者點擊「確認送出」後，該次表單資料與狀態即刻於後端鎖定。
- 送出後之表單不可再被修改或重複編輯，確保簽署內容與法律存證之真實性與完整性。",
連結管理,專屬表單連結,後台,"顧問於後台取得並管理個人專屬表單連結之介面。
- 顧問登入後可選擇欲發送之文件版型與填寫模式（逐題填寫／文件檢視），即時取得對應之專屬連結。
- 提供一鍵複製網址功能，便於透過 LINE、Email 或簡訊傳送給求職者。
- 顧問可隨時重設自己的專屬連結。","#### 連結生成設定
- 文件版型選擇（下拉選單）
- 填寫模式選擇（逐題填寫／文件檢視）
- 專屬表單連結網址（唯讀顯示）
- 複製連結按鈕
- 重設專屬連結按鈕"
