模組,項目,分類,說明
PJ,PJ管理,管理,"管理追蹤每個專案的日程及進度，包含出圖日期、組裝日期、出貨日期等。
  • 依照PJ欄位規則進行管理。
  • 欄位狀態需依照日期狀態判斷邏輯標示。
  • 可以將PJ號碼分拆多個機台（相同出貨日期歸為一組）。
  • 欄位版本紀錄與歷史檢視。
  • 重新召開引繼會議功能。
  • 匯出 Excel 功能。"
PJ,欄位負責部門與權限,管理,"設定每個欄位的負責部門，僅有符合設定的部門人員才可以編輯對應的欄位值。
  1. 所有人員皆可查看整張表的全部欄位。
  2. 設定每個欄位的負責部門（如生管部、機械部、制御部、製造部、營業部）。"
PJ,日期狀態判斷邏輯,系統,"欄位有以下幾種判斷狀況。
  1. 準時完成： 工作完成。
  2. 未完成： 工作未完成。
  3. 過期完成： 工作完成，但完成日過期。
  4. 正在過期： 工作未完成，且已經過期。
  5. 延後未完成： 預定日修改延後，工作未完成。
  6. 延後完成： 預定日修改延後，工作完成。
  7. 延後但過期完成： 預定日修改延後，工作完成，但完成日過期。
  8. 延後又過期： 預定日修改延後，工作未完成，且已經過期。
※ 完成日只能以「點擊完成」當天日期認列。"
PJ,PJ欄位規則,系統,"規劃PJ追蹤表欄位，包含專案資訊、設計、採購、製造、出貨及案件窗口。
  1. 依照引繼會議表完整欄位需求進行分類與新增，如「數量」等建議欄位。
  2. 支援群組欄位設定（如 Robot X番號/予入日 等可將兩個欄位視為一組管理）。
  3. 欄位可選擇「N/A」表示忽略該欄位不需填寫。
  4. 每個欄位透過引繼會議設定基準值，日期欄位由系統自動判斷狀態。"
PJ,分拆多個機台,系統,當配合訂單需要拆分多個機台時，相同出貨日期的機器可歸為一組並自行設定數量。
PJ,重新召開引繼會議,系統,"當整張PJ追蹤表日程需要大幅度調整時使用。
  1. 編輯介面將所有欄位開放為可編輯狀態，並預設帶入上次引繼會議設定的值。
  2. 「已經完成」的欄位仍開放為可編輯狀態，但旁邊需標示已完成，供使用者自行判斷是否調整。
  3. 重新召開引繼會議後，所有欄位的日程延遲判斷標準將改以新調整的值為基準。
  4. 重新召開引繼會議不會且不能移除過去的編輯紀錄。"
PJ,"
版本紀錄
",系統,"資料編輯過的所有版本紀錄。
  1. 每個欄位只要被修改（包含重新召開引繼會議的修改）都必須儲存編輯紀錄，並標示修改者與修改時間。
  2. 每個欄位可以獨立查看歷史修改紀錄。
  3. 支援直接切換檢視日期，顯示整張PJ追蹤表在該日期時的所有欄位狀態與數值。"
派車單,派車單管理,管理,"出貨派車管理，便於相關人員直接在系統上操作及查看即時狀況，取代現有的 Email 聯繫方式。
  • 派車單資訊清單及狀態。
  • 支援 新規、component、部品、保全 等所有專案類型建立派車單（即使該專案不在 PJ 追蹤表內）。
  • 營業部發出需求時可上傳附件。
  • 匯出 Excel 功能。
  • 匯出 PDF 功能。"
派車單,規則邏輯,系統,"營業部發出需求、生管部安排車輛。
  1. 營業部輸入預定日期，說明貨物內容，下拉式選擇材積，再填入目的地（建立 Packing List），並可選擇客戶慣用的多個出貨地點（參考訂單管理系統）。
  2. 生管部收到需求後，填寫車輛資訊，安排要將貨物分派在哪輛車上。
  3. 當營業部發出需求的同時，就可以將資訊拋回PJ追蹤表的 M/I Time 欄位。
  4. 1輛車可以乘載多個PJ貨物，1個PJ貨物也能分拆多輛車。"
派車單,出貨單列印流程,系統,"機台 Ready 的時候，生管部列印出貨標示、出貨單及附件。
系統介面上需有明確的狀態標示，顯示該派車單是否已完成列印。"
通知提醒,Mail,系統,"串接 HIRATA 的 Mail 系統，當觸發事件時寄出 Email 通知。
  1. 派車單事件。
  2. PJ號碼日程修改延後。
  3. Customer Target(M/I Date) 提前出貨。"
文件繪製,Excel 格式,系統,"頁面或後台管理，需要採用 Excel 操作匯入或匯出功能時所需的繪製資料表格式。
  • PJ管理。
  • 派車單管理。"
文件繪製,PDF 格式,系統,"PDF 匯出的格式繪製，用於報告資料匯出。
  • 派車單詳細出貨單資訊（包含附件）。
  • 出貨標示。
  • 出貨單。"
權限管理,權限管理,管理,"管理使用者帳號密碼，及編輯資料欄位。
- 使用者帳號密碼。
- 使用者資料欄位。"
權限管理,權限同步,系統,使用者帳號密碼及資料與 HIRATA 客戶訂單履歷管理系統 同步。
