項目名稱,說明,分類,備註
登入與使用者權限,,,
Azure SSO 登入,"整合 Azure SSO 作為單一登入入口。
- 導向 Azure SSO 登入驗證流程。
- 登入成功後取得使用者角色與基本資料。
- 登出與登入狀態維持。",系統,
角色識別與介面分流,"依後端 API 回傳角色資訊、權限判斷、資料可視範圍，前端負責介面呈現與可操作項目。
- 管理者（Admin）
- 業務（Sales／Pre-Sales／FAE）
- 客戶（Disti／Reseller）",系統,
最新消息,,,
最新消息列表,"系統相關公告與產品更新資訊。
- 圖片／標題／日期／標籤",頁面,
最新消息視窗,"點擊開啟最新消息，閱讀詳細內容。
- 圖片／標題／日期／標籤
- 詳細內容。",頁面,
詢價單,,,
詢價單列表,"列出使用者可存取的詢價單清單。
- 篩選器（關鍵字與狀態篩選等）。
- 建立時間、詢價單編號與產品規格等資料欄位。
- 詢價狀態（草稿／已提交／接受／拒絕）。",頁面,
詢價單歷程,"從列表或內頁開啟詢價單狀態變化與操作紀錄。
- 建立時間。
- 提交時間。
- 報價回傳時間。
- 接受或拒絕時間。",頁面,
詢價單內頁,"完整顯示詢價單整體資訊，及產品清單。
- 基本資訊、客戶資訊。
- 詢價狀態、進度與總金額。
- 預估交期。
- 產品清單概覽。",頁面,
產品配置主頁,"選擇主要的伺服器產品，後續進入相應的流程選單。
- 產品圖片、名稱、簡述。
- L3／L6／L9／L11 層級標示。
- 動作按鈕。",頁面,
產品配置流程,"步驟式引導使用者完成產品配置。
- System
- Processor
- Memory
- Drives
- RAID
- Networking
- Options",頁面,
產品配置規則 API 串接,串接 MiTAC 提供的後端 API 驗證產品配置規則，判斷是否衝突、該給予哪些欄位選項等。,系統,
配置欄位顯示,"依照後端 API 回傳規則，為欄位顯示相關提示。
- 元件清單條列顯示。
- 支援數量選擇。
- 顯示可選上限。
- 顯示即時錯誤或衝突提示。",系統,
整體衝突提示,"除了欄位當下的提示，還有個區塊提示整體配置的衝突，作為最後的防呆把關。
- 即時顯示規格不相容或未完成項目。
- 標示衝突欄位位置。
- 允許未完成狀態暫存。",系統,
議價流程,詢價單資料送出至 Zoho CRM 後，進入議價流程，從 Zoho CRM 取回報價金額，再拋出接受或拒絕。最後接受報價，正式將資料拋轉給 WOM 系統。,系統,
產品規格比對,,,
產品規格比對,選擇多個產品，將相同規格放置於相同水平或垂直位置，進行快速比對。,頁面,
AI 工具,,,
MiTAC AI ChatBot 嵌入,"嵌入 MiTAC 現有 AI ChatBot。
- 畫面右下角常駐按鈕。
- 點擊展開聊天視窗。
- 提供問答諮詢。",系統,
MiTAC AI 模型,埋設於網頁適當處，為使用者建議產品配置的 AI 模型。,系統,
Zoho CRM API 串接,,,
角色權限,存取已被制定好的角色權限，包含管理者、業務與客戶等。,系統,
角色資料,存取 Zoho CRM 維護管理的角色資料，包含業務與客戶等。但不可以將資料寫回去覆蓋。,系統,
提交詢價,將詢價單資料送出至 Zoho CRM。,系統,
報價回覆,存取來自 Zoho CRM 的金額，並回傳結果為「接受或拒絕」。,系統,
WOM API 串接,,,
正式 PO,接受報價的詢價單，可以正式將資料拋轉給 WOM 系統。,系統,
靜態頁面,,,
關於我們,呈現資訊的靜態頁面圖文。,頁面,
隱私權政策,呈現資訊的靜態頁面圖文。,頁面,
服務條款,呈現資訊的靜態頁面圖文。,頁面,
設計階段,,,
UX 設計,"UX 設計著重在使用邏輯與操作流程，提升使用者的整體體驗與任務完成效率。
- 使用者訪談與需求釐清。
- 制定網站目標、邏輯規則與動線流程。
- 功能規劃與頁面結構整理，並繪製 Wireframe 作為後續 UI 設計依據。
- WireFrame 繪製工具為 Figma。",-,
UI 設計,"UI 設計專注於視覺呈現與介面細節，強化品牌感並提升用戶的第一印象。
- 根據品牌定位與 UX 成果設計視覺風格。
- 設計稿繪製工具為 Figma。
- 初版會先挑1個頁面來確認風格，風格調整最多3次。",-,
技術需求,,,
RWD,所有前端開發頁面皆包含「桌面版」及「手機版」。,-,
暗黑模式,每個頁面皆產生明亮版與暗黑版。,-,
切換身份,具備 Admin 權限的帳號可以於操作介面自由切換帳號身份，便於測試與管理。,-,
前端規範,"前端開發時須遵守的規範。
- 使用 Vue3。
- 使用 TypeScript、強型別。",-,
環境技術,"- AES 256 加密機制，統一採用密文進行。
- 前端頁面程式碼混淆與壓縮。
- LOG 記錄是使用裝置是電腦或手機。
- 程式碼需註解。",-,
其他,,,
操作手冊,供使用者閱覽的操作手冊。,-,
