模組,項目,分類,說明,頁面欄位
網站架構與託管,拓美網站獨立部署（JoyForce）,系統,"將拓美諮詢（JoyForce）從現行古卓 Webflow 官網分拆，完整轉製為獨立靜態網站自主託管。
- 網站內容轉為靜態檔案，畫面視覺與功能與現行完全一致。
- 建立 Cloudflare Pages 專案並配置 Git 自動部署流程。
- 自訂網域解析與 SSL／TLS 安全憑證設定。
- 維持既有網址格式結構，避免搜尋引擎排名流失。
- 圖片格式轉為 WebP 壓縮優化、移除未使用之字型載入。
- 調整兩站互連連結：拓美端 4 處、古卓端 5 處。",
網站架構與託管,古卓網站遷移與自主託管（Couture）,系統,"古卓諮詢官網從 Webflow 平台遷移至自主託管主機（如 Cloudflare Pages），免除平台月費（每年約 US$300）。
- 網站轉為靜態檔案並建立自動化部署流程。
- 進行全站圖片壓縮與字型載入優化。
- 重建履歷表單與後端收件機制。
- 網址結構與 SEO 設定無縫銜接，維持搜尋引擎權重。",
網站架構與託管,Sitemap XML 與標準網址標記,系統,"兩站分別配置標準 Sitemap XML 網站地圖檔案與 Canonical URL 標準網址標記。
- 系統自動產生並更新 Sitemap XML，涵蓋所有前台公開頁面與法遵子頁面。
- 設定標準網址標記，避免重複內容影響搜尋引擎排名。
- 供主動向 Google Search Console 提交推進爬蟲收錄進度。",
既有頁面調整,拓美首頁結構升級（JoyForce）,頁面,"拓美現行單頁式網站升級為可容納獨立法遵子頁面之多頁式架構。
- 重構全站頂部導覽列（Navbar）與底部頁尾（Footer）。
- 首頁新增法定資訊揭示區塊。
- 頁尾新增 5 個法遵頁面入口連結。
- 調整 4 處連回古卓諮詢之互連連結。","#### 頂部導覽列（Navbar）
- 品牌 Logo
- 服務項目連結
- 關於我們連結
- 法遵資訊導覽選單（法令宣導／許可證與證書／收費明細／個資聲明／使用條款）
- 聯絡我們按鈕
- 關聯品牌連結（古卓諮詢）
#### 首頁法定資訊區塊
- 公司全名（拓美諮詢股份有限公司）
- 就業服務許可證字號（南市私業許字第 021 號）
- 聯絡電話（06-6020506／02-66040565）
- 服務據點（台南據點／台北據點地址）
#### 全站頁尾（Footer）
- 品牌介紹與版權宣告
- 法定資訊揭示摘要
- 法遵專區連結區（5 個新頁面入口）
- 關聯品牌網站連結（古卓諮詢）"
既有頁面調整,古卓既有頁面調整（5 頁）,頁面,"古卓諮詢現行 5 個頁面版面調整與法遵資訊整合。
- 首頁新增法定資訊揭示區塊。
- 全站頁尾新增 5 個法遵頁面入口連結區。
- 調整 5 處指向拓美諮詢之互連連結。
- 套用至全站 5 個既有頁面。","#### 首頁法定資訊區塊
- 公司全名（古卓諮詢股份有限公司）
- 就業服務許可證字號（北市就服字第 0324 號）
- 聯絡電話（02-27717015）
- 公司地址（台北市松山區南京東路五段188號7樓之5）
#### 全站頁尾（Footer）
- 品牌資訊與版權宣告
- 法定資訊揭示
- 法遵專區連結區（法令宣導／許可證與證書／收費明細／個資聲明／使用條款）
- 關聯品牌網站連結（拓美諮詢）"
法令宣導,古卓－法令宣導,頁面,"古卓諮詢私立就業服務機構法定宣導專屬頁面。
- 五大宣導主題內容專業編排。
- 設定 6 條外部主管機關連結（指向臺北市政府勞動局及勞動部），皆於新分頁開啟。
- 提供性騷擾申訴管道與專用信箱連結。
- 提供性騷擾防治措施辦法文件下載連結。","#### 頁面標題與前言
- 主標題（法令宣導）
- 宣導目的說明文案
#### 五大宣導主題
- 職業介紹定型化契約注意事項
- 求職防騙宣導（三大原則、七不原則、詐騙樣態防範）
- 職場平權宣導（就業歧視禁止、性別工作平等規範）
- 雇主違反勞動法令查詢（法令宣導、查詢系統引導）
- 性騷擾防治措施（防治要點、申訴流程、申訴管道）
#### 外部主管機關連結（6 條，新分頁開啟）
- 臺北市政府勞動局連結
- 臺北市就業服務處連結
- 勞動部勞動力發展署連結
- 勞動部就業平等網連結
- 勞動部勞動法令查詢系統連結
- 勞動部全民勞教e網連結
#### 申訴與下載
- 性騷擾申訴信箱連結（mailto）
- 古卓諮詢性騷擾防治措施申訴及調查要點（PDF 線上預覽與下載按鈕）"
法令宣導,拓美－法令宣導,頁面,"拓美諮詢私立就業服務機構法定宣導專屬頁面。
- 五大宣導主題內容專業編排。
- 設定 6 條外部主管機關連結（指向臺南市政府勞工局及勞動部），皆於新分頁開啟。
- 提供性騷擾申訴管道與專用信箱連結。
- 提供性騷擾防治措施辦法文件下載連結。","#### 頁面標題與前言
- 主標題（法令宣導）
- 宣導目的說明文案
#### 五大宣導主題
- 職業介紹定型化契約注意事項
- 求職防騙宣導（三大原則、七不原則、求職防騙注意事項）
- 職場平權宣導（禁止就業歧視、促進職場性別平權）
- 雇主違反勞動法令查詢（勞動基準法規宣導、違法名單查詢）
- 性騷擾防治措施（申訴專線、調查處理機制）
#### 外部主管機關連結（6 條，新分頁開啟）
- 臺南市政府勞工局連結
- 臺南市職訓就服中心連結
- 勞動部勞動力發展署雲嘉南分署連結
- 勞動部就業平等網連結
- 勞動部勞動法令查詢系統連結
- 勞動部全民勞教e網連結
#### 申訴與下載
- 性騷擾申訴信箱連結（mailto）
- 拓美諮詢性騷擾防治措施、申訴及調查處理要點（PDF 線上預覽與下載按鈕）"
就業服務許可證與專業人員證書,古卓－就業服務許可證與專業證書,頁面,"古卓諮詢公開展示機構許可證與就服專業人員乙級技術士證照。
- 機構許可證上架，證號強制以純文字形式揭示，利於搜尋引擎爬蟲收錄。
- 2 份從業專業人員乙級證書上架展示。
- 提供清晰證書圖檔展示並設定替代文字。
- 提供原始 PDF 文件線上預覽與安全下載。","#### 機構許可證資訊
- 機構名稱（古卓諮詢股份有限公司）
- 許可證字號（北市就服字第 0324 號，純文字揭示）
- 許可證有效期限（至民國 116 年 10 月 30 日）
- 許可證清晰圖檔（含 Alt 標籤）
- 許可證 PDF 下載按鈕
#### 專業人員證書資訊（2 份）
- 專業人員姓名（戴郁潔）
- 證照名稱（就業服務乙級技術士證）
- 證書清晰圖檔
- 專業人員姓名（王亭喻）
- 證照名稱（就業服務乙級技術士證）
- 證書清晰圖檔
#### 文件預覽與下載專區
- 古卓諮詢就服機構許可證（PDF 下載）
- 戴郁潔乙級就服證書（PDF 下載）
- 王亭喻乙級就服證書（PDF 下載）"
就業服務許可證與專業人員證書,拓美－就業服務許可證與專業證書,頁面,"拓美諮詢公開展示機構許可證與就服專業人員乙級證書。
- 機構許可證上架，證號以純文字揭示供搜尋引擎收錄。
- 1 份從業專業人員乙級證書上架展示。
- 證書高清圖檔展示與 Alt 標籤設定。
- 提供原始 PDF 文件線上預覽與下載。","#### 機構許可證資訊
- 機構名稱（拓美諮詢股份有限公司）
- 許可證字號（南市私業許字第 021 號，純文字揭示）
- 許可證有效期限（民國 114 年 11 月 30 日至 116 年 11 月 29 日）
- 營業據點（台南、台北）
- 許可證清晰圖檔（含 Alt 標籤）
- 許可證 PDF 下載按鈕
#### 專業人員證書資訊（1 份）
- 專業人員姓名（Monica 盧箏英）
- 證照名稱（就業服務乙級技術士證）
- 證書清晰圖檔
#### 文件預覽與下載專區
- 拓美諮詢私立就業服務機構許可證（PDF 下載）
- Monica 盧箏英乙級就服證書（PDF 下載）"
收費項目及金額明細,古卓－收費項目及金額明細,頁面,"古卓諮詢主管機關核備之 A-5 收費項目及金額明細表重製為網頁表格。
- 收費明細表重新製作為 RWD 響應式網頁表格，手機與窄螢幕均可正常清晰閱讀。
- 關鍵收費金額與收費標準以純文字呈現，利於搜尋引擎收錄。
- 提供原始主管機關核備 PDF 文件線上預覽與下載。","#### 標題與法規說明
- 頁面標題（收費項目及金額明細表）
- 法規核備依據與公告文案
#### 收費明細表格（RWD 響應式 Table）
- 服務對象分類（雇主／求職者）
- 項目名稱（登記費／介紹費／甄選費／職業心理測驗費等）
- 收費標準與金額上限
- 計費方式與收費時機說明
- 備註條款與注意事項
#### 文件下載專區
- 古卓諮詢 A-5 私立就業服務機構收費項目及金額明細表（PDF 線上預覽與下載按鈕）"
