日期時間,組織,帳號,使用功能,完成表單名稱
2026/03/25 03:19:55,泰山企業,sales@dachan.com,設備維護,雙週設備維護
2026/03/15 15:25:22,聯華食品,hello@bettermilk.com.tw,巡檢表單,品管簽核
2026/03/15 10:51:40,大成集團,info@lianhwa.com.tw,設備維護,高壓噴洗機
2026/03/13 01:55:16,義美食品,hr@sfworldwide.com,巡檢表單,測試異常警報
2026/03/11 04:40:43,大成集團,sales@dachan.com,設備維護,三日設備維護
2026/02/27 21:53:40,泰山企業,office@cp-india.com,巡檢表單,品管簽核
2026/02/23 05:18:09,佳格食品,sales@dachan.com,設備維護,工業用烤箱
2026/02/15 19:10:17,泰山企業,order@sunnyhills.com.tw,巡檢表單,學生投訴表單
2026/01/10 09:11:14,義美食品,contact@uni-president.com.tw,設備維護,工業用烤箱
2026/01/02 00:41:18,統一企業,contact@uni-president.com.tw,設備維護,每日設備維護
2025/12/22 22:44:38,泰山企業,hr@sfworldwide.com,巡檢表單,派發生產
2025/12/22 15:37:38,鮮乳坊,info@lianhwa.com.tw,設備維護,生產填寫
2025/12/01 22:06:01,大成集團,order@sunnyhills.com.tw,巡檢表單,測試異常警報
2025/11/27 06:43:54,卜蜂企業,info@lianhwa.com.tw,巡檢表單,學生投訴表單
2025/05/19 16:10:57,大成集團,order@sunnyhills.com.tw,設備維護,高壓噴洗機
2025/05/13 17:19:45,佳格食品,hello@bettermilk.com.tw,巡檢表單,學生投訴表單
2025/04/29 23:09:39,大成集團,service@imeifoods.com.tw,設備維護,滾筒拌料機
2025/04/12 01:35:21,味全食品,office@cp-india.com,巡檢表單,派發品管
2025/03/13 15:07:48,味全食品,admin@weichuan.com.tw,巡檢表單,廁所清潔紀錄表
2025/02/02 01:47:38,大成集團,hello@bettermilk.com.tw,巡檢表單,學生投訴表單
