模組,項目,分類,說明,頁面欄位
PJ,PJ管理,管理,"管理追蹤每個專案的日程及進度，包含出圖日期、組裝日期、出貨日期等。
- 依照規則邏輯進行管理。
- 具備PJ欄位。
- 欄位需依照欄位判斷邏輯給予標示。
- 可以分拆多組資料。",
PJ,規則邏輯,系統,"  1. 日程都是引繼會議決定，相關人員在會議後新增PJ填入每個欄位的日程或選項。
  2. 承上，如果後續有修改過日程或選項需要特別標示（尤其是日程延後）。所以新建立PJ時第一次輸入的值，就是標準值。
  3. 每個部門負責不同欄位，負責部門才能編輯，非負責部門僅能查看。實際負責部門仍需待客戶確認。
  4. Customer Target (M/I Date) 欄位是營業部反應客戶想要提前趕出貨。這時候需要內部召開引繼會議，重新為「未完成」的欄位重新討論、重新填寫。所以要有個「引繼重新填寫」功能按鈕。
  5. 其中的 M/I Time 欄位需搭配派車單管理功能使用。",
PJ,欄位判斷邏輯,系統,"欄位有以下幾種判斷狀況。
  1. 沒有變化： 預定日未更改，且尚未完成。
  2. 準時完成： 預定日未更改，且已經完成。
  3. 正在延遲： 預定日有更改延後，且尚未完成。
  4. 延遲完成： 預定日有更改延後過，且已經完成。
  5. 完全延遲： 預定日未更改，而目前已延遲，且尚未完成。",
PJ,PJ欄位,系統,"業種, 機械出圖日, 制御出圖日, 機械集合日, Harness、制御盤 集合日, Robot X番號, Robot 予入日, Load port 仕樣, Load port 予入日, Alinger 仕樣, Alinger 予入日, 製造 組立完成日, 制御測試完成日, 梱包日, Customer Target(M/I Date), M/I Time, 設計擔當, 制御擔當, 營業擔當, M/I 完成",
PJ,分拆多組資料,系統,"有些PJ必須分拆多組資料。例如原本都是1組PJ管理1組組立完成日及出貨日，而必須分批出貨的PJ可以管理多組組立完成日及出貨日。
所以系統需要給予分拆多組的PJ各自的流水號，便於派車單對應連結。",
派車單,派車單管理,管理,"出貨派車管理，便於相關人員直接在系統上操作及查看即時狀況，取代現在的 Email 聯繫方式。
- 依照規則邏輯進行管理。
- 新建派車需求及後續安排車輛後要 Mail 通知。
- 營業部發出需求時可以夾帶附件，用於備註每個客戶可能要注意的事項。生管部派車時可以列印出來查看。",
派車單,規則邏輯,系統,"營業部發出需求、生管部安排車輛。
- 營業部輸入預定日期，說明貨物內容，下拉式選擇材積（可能會提供N個材積範圍），再填入目的地。也就是建立 Packing List 。
- 生管部收到需求後，自行安排要將貨物分派在哪輛車上。
- 當營業部發出需求的同時，就可以將資訊拋到 M/I Time 欄位。",
通知提醒,Mail,系統,"串接 HIRATA 的 Mail 系統。設定各項功能的通知事件，當觸發時系統寄出 Email 通知。
- 派車單事件。",
權限管理,權限管理,管理,"設定部門權限，可以編輯哪些資料欄位。
- 列出PJ資料欄位，針對每個欄位設定。
- 其他權限設定。",
權限管理,權限串接,系統,使用者透過 HIRATA 客戶訂單履歷管理系統 已建立的使用者帳號密碼登入，再由這裡的系統進行權限辨識。,
