模組,項目名稱,說明,分類
基本,首頁,"網站的首個頁面，用於放置品牌主視覺、重要訊息、精選與熱門課程展示及各項主要連結。",頁面
基本,首頁輪播管理,"編輯管理首頁上方的主視覺輪播圖片。
- 上傳圖片。
- 設定標題、連結。
- 支援拖曳排序與上下架。",後台
基本,推薦課程排版設定,"設定首頁主打與推薦課程的展示順序與區塊。",後台
基本,聯絡我們,"提供聯絡資訊與聯絡管道。
- 聯絡資訊。
- 留言表單。
- 提交留言需通過防機器人驗證。",頁面
基本,留言查看,後台查看使用者的留言內容與提交資料。,後台
基本,防機器人留言驗證,安裝 reCAPTCHA 套件，使用者留言時進行防機器人驗證。,系統
基本,即時客服按鈕,"安裝常駐客服按鈕，供點擊開啟 LINE 官方帳號進行諮詢。",系統
基本,Sitemap XML,系統自動更新 Sitemap XML 檔案，包含所有公開頁面，用於向 Google 提交推進爬蟲抓取。,系統
基本,404,使用者誤入不存在的頁面位置，引導至 404 頁面並導引返回首頁，有助於 SEO 加分。,頁面
靜態頁面,服務條款,呈現使用者服務條款之靜態頁面圖文。,頁面
靜態頁面,隱私權政策,呈現個人資料保護與隱私權政策之靜態頁面圖文。,頁面
靜態頁面,智財權與退費須知,呈現線上影音課程著作權保護條款、購買與退費政策之靜態頁面圖文。,頁面
常見問題,常見問題,"回答學員常見問題，提供快速且清晰的解答，提升使用體驗。
- 購課與付款問題。
- 觀看設備與環境支援。
- 電子發票與其他常見問題。",頁面
常見問題,常見問題分類設定,設定常見問題的分類，供編輯管理內容時選擇。,後台
常見問題,常見問題管理,"編輯管理常見問題的資料欄位與內容。
- 選擇分類。
- 問題與答案編輯。",後台
會員與 SSO,官網會員 SSO 單一登入,"串接「定錨產業筆記官網（investanchors.com）」之會員認證 API / OAuth 2.0 架構。
- 學員使用定錨官網既有帳號密碼登入授權。
- 自動同步會員資料（Email、姓名、會員唯一識別碼），免去重複註冊流程。",系統
會員與 SSO,登入跳轉頁,會員登入介面，引導學員透過定錨官網帳號進行身分驗證與授權跳轉。,頁面
會員與 SSO,會員中心,"顯示會員基本資料與相關功能入口。
- 顯示定錨帳號綁定資訊。
- 歷史消費訂單明細入口。
- 我的課程快速入口。",頁面
會員與 SSO,我的課程,"已購買之線上影音課程清單。
- 課程卡片顯示封面、課名與學習進度百分比。
- 標記上次觀看之章節單元，點擊直接接續上課教室播放。",頁面
會員與 SSO,會員管理,"管理會員資料及權限狀態。
- 查詢會員基本資料與登入紀錄。
- 查看會員已購買擁有的課程清單。
- 支援管理者手動開通或註銷課程終身觀看權限。
- 停權與復權功能（被停權會員無法存取課程）。",後台
課程,課程列表,"清單頁面陳列平台所有線上影音課程。
- 支援依照產業主題或分析主題分類篩選。
- 顯示課程封面圖、標題、售價與簡短介紹。",頁面
課程,影片課程銷售內頁,"線上課程銷售與課綱介紹頁面。
- 包含課程介紹、前導片/試看片。
- 完整課綱目錄展開（大章節、小單元、預估片長、公開試看標記）。
- 清楚標示支援信用卡分期付款及「終身無限次觀看」。
- 加入購物車與立即購買 CTA 按鈕。",頁面
課程,上課教室播放內頁,"已購課學員專屬觀課介面。
- 整合 Bunny Stream 播放器，支援自適應畫質、0.75x ~ 2.0x 倍速播放、快轉倒退 10 秒。
- 播放進度記憶（自動紀錄並接續上次觀看秒數）。
- 章節目錄側邊導覽欄，觀看完成自動打勾標記進度。
- 課堂講義教材下載區（PDF 簡報、財務模型 Excel）。",頁面
課程,課程分類設定,管理課程的分類標籤（如：半導體產業、財報分析、估值模型、總體經濟等）。,後台
課程,影片課程管理,"編輯管理線上課程的資料欄位與內容。
- 選擇分類、設定課程名稱、封面圖、定價、詳細說明。
- 設定多個大章節與小單元，並設定單元對應之 Bunny Stream Video ID。
- 設定指定單元為「公開免費試看」。
- 上傳並管理各單元專屬講義教材檔案。",後台
課程,影片課程規格,課程系統支援大章節與小單元雙層架構，並記錄學員各單元完成度狀態與百分比。,系統
課程,終身觀看授權機制,訂單完成付款後自動賦予該會員對應課程之終身無限次觀看權限，無觀看期限限制。,系統
課程,教材講義權限控制,單元附屬教材（PDF/Excel）僅開放已購買該課程之登入學員下載，防止未授權存取。,系統
串流與版權防護,Bunny Stream 串流整合,串接 Bunny.net 影音串流服務 (Bunny Stream API)，提供穩定順暢的全球 CDN 高畫質影音串流與轉碼支援。,系統
串流與版權防護,Bunny 安全防盜鏈 (Token Auth),播放影音時由伺服器後端即時產生帶有時效性的 Token 簽章，防止真實影片網址遭擷取下載或外部盜連。,系統
串流與版權防護,網域白名單 (Domain Restriction),設定 Bunny 影音庫僅允許在定錨課程平台網域內加載播放，禁止外部網站未經授權 Iframe 嵌入。,系統
