模組,項目,分類,說明,頁面欄位
庫存,品項庫存批號搜尋與彙整,系統,"在品項庫存頁面新增批號搜尋功能，彙整該批號的所有入庫、出庫記錄於獨立頁面中。
- 在品項庫存列表頁新增搜尋欄位，支援批號搜尋
- 搜尋範圍包含： 收料批號、製造批號
- 點擊搜尋結果後展開獨立彙整頁面
- 彙整頁面以列表呈現","- 品名
- 批號
- 重量
- 填寫人"
通知提醒,巡檢/設備表單截止提醒,系統,"當派案截止時間剩餘 50% 時通知負責人，剩餘 25% 時通知審核者（主管），以鈴鐺和 Email 雙重通知。
- 適用範圍：巡檢表單和設備表單
- 每個閾值只通知一次
- 即使無人認領也須通知
- 退回重派時重新計算",
設備,設備 Excel 匯入,後台,"支援 Excel 批次匯入設備基本資料，減少手動逐一新增的時間。
- 重複判斷邏輯：以設備編號辨識，若存在則阻擋匯入該筆
- 提供 Excel 範本下載","- 設備名稱
- 設備編號
- 位置
- 規格"
教育訓練,教育訓練 Excel 匯入（雙分頁）,後台,"在教育訓練頁面新增兩個匯入分頁，分別匯入「訓練資料需求」和「教育訓練紀錄」。
- 分頁 1 — 訓練資料需求匯入
- 分頁 2 — 教育訓練紀錄匯入
- 以員工編號 + 姓名配對對應員工",
系統優化,後台巡檢表單 SurveyJS 捲軸優化,後台,解決後台巡檢表單操作時，問卷範圍內外的捲軸互相干擾問題。,
巡檢,巡檢表單模板搜尋,後台,已實作 InspectionForm 的 survey_template 名稱搜尋及下拉式篩選功能。,
簽核,多層簽核流程（巡檢 + 設備）,系統,"將現有的單層審核機制升級為可自訂層級的多層簽核流程，適用於巡檢表單和設備表單。
- 後台可自行設定簽核層級數量，不限層級上限
- 每一層可指定多個審核者，任一人通過即可
- 任一層駁回則退回至填表人重新提交",
匯出,PDF 匯出格式美化,系統,優化 PDF 匯出的版面設計，使其由原始資料陳列風格轉為正式報告格式（如巡檢表單、設備報告等）。,
匯出,PDF / Excel 匯出浮水印,系統,"所有可匯出或下載的 PDF 和 Excel 文件加上浮水印（範本除外）。
- 浮水印樣式：斜角文字（傾斜平鋪）","- 匯出日期
- 匯出時間
- 公司名稱
- 帳號名稱"
巡檢,巡檢表單照片浮水印,系統,"使用者從 APP 填寫巡檢表單時上傳或拍攝的照片，自動加上浮水印。
- 浮水印位置：右下角
- 觸發時機：照片上傳時自動處理","- 日期
- 時間"
權限,帳號權限起訖日,系統,"統一以組織的起訖日控制帳號權限，不另設個人起訖日。
- 後台：過期後僅能查看記錄，不可編輯或新增
- APP 端：過期後自動登出",
報表,會員方案漏斗報表,後台,"顯示指定期間內各方案的分佈數量及百分比。
- 篩選條件：日期範圍（起訖日）",
報表,功能使用頻率報表,後台,"追蹤並展示各功能模組的使用頻率。
- 追蹤範圍：APP 端 + 後台",
報表,會員活躍度報表,後台,"以組織為單位，呈現會員活躍度（以表單完成數為指標）。
- 活躍度定義：表單完成數",
