項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
1,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/assets/home-6fe18c6dfc208e5887d920b6e20297eb02ab0770be1e5e7bc739f808a680923b.js
參數:Moment 2.17.1(Component)",中保智慧宅,有弱點的元件,Latest patches or hotfixes for 3rd. party products were not installed,未安裝協力廠商產品的最新修補程式或緊急修復程式,"Upgrade to the latest version of the component. If the component has reached its End of Life (EOL), replace the component with a recent supported alternative. We highly recommend contacting the vendor of this product to see if a patch or fix has recently been made available.
","升級到該組件的最新版本。如果該組件已達到其生命終結（EOL），請用最近支持的替代品替換該組件。我們強烈建議聯繫該產品的供應商，看看是否最近有補丁或修復可用。
",High,攻擊者有可能使用 Web 伺服器來攻擊其他網站，讓其身分更加隱密,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
2,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/assets/home-6fe18c6dfc208e5887d920b6e20297eb02ab0770be1e5e7bc739f808a680923b.js
參數:Moment 2.17.1(Component)",中保智慧宅,有弱點的元件,Latest patches or hotfixes for 3rd. party products were not installed,未安裝協力廠商產品的最新修補程式或緊急修復程式,"Upgrade to the latest version of the component. If the component has reached its End of Life (EOL), replace the component with a recent supported alternative. We highly recommend contacting the vendor of this product to see if a patch or fix has recently been made available.
","升級到該組件的最新版本。如果該組件已達到其生命終結（EOL），請用最近支持的替代品替換該組件。我們強烈建議聯繫該產品的供應商，看看是否最近有補丁或修復可用。
",High,攻擊者有可能使用 Web 伺服器來攻擊其他網站，讓其身分更加隱密,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
3,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/
參數:_gid(Cookie)",中保智慧宅,加密的階段作業 (SSL) Cookie 中遺漏安全屬性,The web application sends non-secure cookies over SSL,Web 應用程式會透過 SSL 傳送未受保護的 Cookie,"Basically the only required attribute for the cookie is the ""name"" field. Common optional attributes are: ""comment"", ""domain"", ""path"", etc.
The ""secure"" attribute must be set accordingly in order to prevent to cookie from being sent unencrypted.
For more information on how to set the secure flag, see OWASP ""Secure Attribute"" cheatsheet at 
https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html#secure-attribute


RFC 2965 states:
""The Secure attribute (with no value) directs the user agent to use only (unspecified) secure means to contact the origin server whenever it sends back this cookie, to protect the confidentially and authenticity of the information in the cookie.""
For further reference please see the HTTP State Management Mechanism RFC 2965 at: 
http://www.ietf.org/rfc/rfc2965.txt
and for ""Best current practice"" for use of HTTP State Management please see 
http://tools.ietf.org/html/rfc2964
","基本上，Cookie 的唯一必要屬性是 ""name"" 欄位。
常見的選用屬性如下：""comment""、""domain""、""path""，等等。
""secure"" 屬性必須相應地設定，才能防止以未加密的方式來傳送 Cookie。
如需如何設定安全旗標的相關資訊，請前往以下鏈結，並參閱 OWASP "" 安全屬性 "" 題要
https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html#secure-attribute


RFC 2965 指出：
「Secure 屬性（不含值）會指示使用者代理程式再次傳回這個 Cookie 時，都只用（未指定）安全方法來聯絡原始伺服器，以保護 Cookie 中之資訊的機密性與確實性。」
如需進一步的參照，請參閱「HTTP 狀態管理機制」RFC 2965，位置如下： 
http://www.ietf.org/rfc/rfc2965.txt
如需使用「HTTP 狀態管理」的「最佳現行實務」，請參閱： 
http://tools.ietf.org/html/rfc2964
",Medium,有可能竊取在加密階段作業期間傳送的使用者和階段作業資訊 (Cookie),中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
4,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/
參數:_gid(Cookie)",中保智慧宅,SameSite 屬性不安全、不適當或遺漏的 Cookie,Sensitive Cookie with Improper or Insecure or Missing SameSite Attribute,SameSite 屬性不適當、不安全或遺漏的機密 Cookie,"[1] Review possible solutions for configuring SameSite Cookie attribute to recommended values.
[2] Restrict Cookies to a first-party or same-site context.
[3] Verify and set the SameSite attribute of your cookie to Strict, to ensure that the cookie will only be sent in a first-party context.
[4] Or, if you want to relax the restrictions of first-party context, then verify and set the SameSite attribute of the cookie to Lax with Secure Flag enabled and transferred over HTTPS.
","[1] 檢閱將 SameSite Cookie 屬性配置為建議值的可能解決方案。[2] 將 Cookie 限制為第一方或相同網站環境定義。
[3] 將 Cookie 的 SameSite 屬性設定為 Strict 並加以驗證，確保 Cookie 只能在第一方環境定義中傳送。
[4] 或者，如果您想要放鬆第一方環境定義的限制，請將 Cookie 的 SameSite 屬性設定為 Lax 並啟用 Secure 旗標，再透過 HTTPS 傳輸，同時加以驗證。
",Medium,將 Cookie 限制為第一方或相同網站環境定義以預防 Cookie 資訊洩漏。如果沒有設置額外的保護措施（如反 CSRF 記號），攻擊者可以延伸為偽造跨網站要求 (CSRF) 攻擊。,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
5,https://smarthome.myvita.com.tw/,"http://smarthome.myvita.com.tw/home/inquiries/new
參數:smarthome.myvita.com.tw(Page)",中保智慧宅,缺少或不安全的 Cross-Origin-Embedder-Policy（COEP）標頭,Insecure web application programming or configuration,不安全的 Web 應用程式設計或配置,"Set the header ""Cross-Origin-Embedder-Policy: require-corp"" to enforce that only CORS-enabled or same-origin resources can be loaded.
","將標頭 ""Cross-Origin-Embedder-Policy: require-corp"" 設置為強制僅加載啟用 CORS 或同源的資源。
",Medium,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
6,https://smarthome.myvita.com.tw/,"http://smarthome.myvita.com.tw/home/inquiries/new
參數:smarthome.myvita.com.tw(Page)",中保智慧宅,缺少或不安全的跨來源資源政策（CORP）標頭,Insecure web application programming or configuration,不安全的 Web 應用程式設計或配置,"Set the ""Cross-Origin-Resource-Policy"" header on resources to ""same-origin"" or ""same-site"" to prevent unauthorized embedding or reuse by third parties.
","將資源的「Cross-Origin-Resource-Policy」標頭設置為「same-origin」或「same-site」，以防止第三方未經授權的嵌入或重用。
",Medium,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
7,https://smarthome.myvita.com.tw/,"http://smarthome.myvita.com.tw/home/inquiries/new
參數:smarthome.myvita.com.tw(Page)",中保智慧宅,缺少或不安全的 Cross-Origin-Opener-Policy (COOP) 標頭,Insecure web application programming or configuration,不安全的 Web 應用程式設計或配置,"Set the header ""Cross-Origin-Opener-Policy: same-origin"" to ensure your site runs in a separate browsing context group, isolating it from other origins.
","將標頭設置為 ""Cross-Origin-Opener-Policy: same-origin""，以確保您的網站在一個單獨的瀏覽上下文組中運行，將其與其他來源隔離。
",Medium,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
8,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/
參數:_ut_csi(Cookie)",中保智慧宅,SameSite 屬性不安全、不適當或遺漏的 Cookie,Sensitive Cookie with Improper or Insecure or Missing SameSite Attribute,SameSite 屬性不適當、不安全或遺漏的機密 Cookie,"[1] Review possible solutions for configuring SameSite Cookie attribute to recommended values.
[2] Restrict Cookies to a first-party or same-site context.
[3] Verify and set the SameSite attribute of your cookie to Strict, to ensure that the cookie will only be sent in a first-party context.
[4] Or, if you want to relax the restrictions of first-party context, then verify and set the SameSite attribute of the cookie to Lax with Secure Flag enabled and transferred over HTTPS.
","[1] 檢閱將 SameSite Cookie 屬性配置為建議值的可能解決方案。[2] 將 Cookie 限制為第一方或相同網站環境定義。
[3] 將 Cookie 的 SameSite 屬性設定為 Strict 並加以驗證，確保 Cookie 只能在第一方環境定義中傳送。
[4] 或者，如果您想要放鬆第一方環境定義的限制，請將 Cookie 的 SameSite 屬性設定為 Lax 並啟用 Secure 旗標，再透過 HTTPS 傳輸，同時加以驗證。
",Medium,將 Cookie 限制為第一方或相同網站環境定義以預防 Cookie 資訊洩漏。如果沒有設置額外的保護措施（如反 CSRF 記號），攻擊者可以延伸為偽造跨網站要求 (CSRF) 攻擊。,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
9,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/
參數:_gcl_au(Cookie)",中保智慧宅,加密的階段作業 (SSL) Cookie 中遺漏安全屬性,The web application sends non-secure cookies over SSL,Web 應用程式會透過 SSL 傳送未受保護的 Cookie,"Basically the only required attribute for the cookie is the ""name"" field. Common optional attributes are: ""comment"", ""domain"", ""path"", etc.
The ""secure"" attribute must be set accordingly in order to prevent to cookie from being sent unencrypted.
For more information on how to set the secure flag, see OWASP ""Secure Attribute"" cheatsheet at 
https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html#secure-attribute


RFC 2965 states:
""The Secure attribute (with no value) directs the user agent to use only (unspecified) secure means to contact the origin server whenever it sends back this cookie, to protect the confidentially and authenticity of the information in the cookie.""
For further reference please see the HTTP State Management Mechanism RFC 2965 at: 
http://www.ietf.org/rfc/rfc2965.txt
and for ""Best current practice"" for use of HTTP State Management please see 
http://tools.ietf.org/html/rfc2964
","基本上，Cookie 的唯一必要屬性是 ""name"" 欄位。
常見的選用屬性如下：""comment""、""domain""、""path""，等等。
""secure"" 屬性必須相應地設定，才能防止以未加密的方式來傳送 Cookie。
如需如何設定安全旗標的相關資訊，請前往以下鏈結，並參閱 OWASP "" 安全屬性 "" 題要
https://cheatsheetseries.owasp.org/cheatsheets/Session_Management_Cheat_Sheet.html#secure-attribute


RFC 2965 指出：
「Secure 屬性（不含值）會指示使用者代理程式再次傳回這個 Cookie 時，都只用（未指定）安全方法來聯絡原始伺服器，以保護 Cookie 中之資訊的機密性與確實性。」
如需進一步的參照，請參閱「HTTP 狀態管理機制」RFC 2965，位置如下： 
http://www.ietf.org/rfc/rfc2965.txt
如需使用「HTTP 狀態管理」的「最佳現行實務」，請參閱： 
http://tools.ietf.org/html/rfc2964
",Medium,有可能竊取在加密階段作業期間傳送的使用者和階段作業資訊 (Cookie),中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
10,https://smarthome.myvita.com.tw/,"https://smarthome.myvita.com.tw/
參數:_gcl_au(Cookie)",中保智慧宅,SameSite 屬性不安全、不適當或遺漏的 Cookie,Sensitive Cookie with Improper or Insecure or Missing SameSite Attribute,SameSite 屬性不適當、不安全或遺漏的機密 Cookie,"[1] Review possible solutions for configuring SameSite Cookie attribute to recommended values.
[2] Restrict Cookies to a first-party or same-site context.
[3] Verify and set the SameSite attribute of your cookie to Strict, to ensure that the cookie will only be sent in a first-party context.
[4] Or, if you want to relax the restrictions of first-party context, then verify and set the SameSite attribute of the cookie to Lax with Secure Flag enabled and transferred over HTTPS.
","[1] 檢閱將 SameSite Cookie 屬性配置為建議值的可能解決方案。[2] 將 Cookie 限制為第一方或相同網站環境定義。
[3] 將 Cookie 的 SameSite 屬性設定為 Strict 並加以驗證，確保 Cookie 只能在第一方環境定義中傳送。
[4] 或者，如果您想要放鬆第一方環境定義的限制，請將 Cookie 的 SameSite 屬性設定為 Lax 並啟用 Secure 旗標，再透過 HTTPS 傳輸，同時加以驗證。
",Medium,將 Cookie 限制為第一方或相同網站環境定義以預防 Cookie 資訊洩漏。如果沒有設置額外的保護措施（如反 CSRF 記號），攻擊者可以延伸為偽造跨網站要求 (CSRF) 攻擊。,中興保全科技股份有限公司,新增弱點,2026/07/13 10:42,伺服器設備,2026/07/13
