模組,項目,分類,說明,頁面欄位
基本,首頁,頁面,誠衛浴官方網站的首個頁面，用於展示主打商品、代理品牌（TOTO、OVO 等）入口及最新優惠活動資訊。,"#### 區塊
- 主視覺輪播
- 代理品牌導覽
- 熱銷商品推薦
- 最新消息／優惠活動"
基本,首頁輪播管理,後台,"編輯管理首頁上方的主視覺輪播圖片。
- 上傳圖片。
- 設定標題、連結。
- 支援拖曳排序與上下架。",
基本,聯絡我們,頁面,"提供明確的聯絡入口給目標受眾，包含門市營業資訊與線上諮詢表單。
- 顯示各門市或總公司的聯絡資訊。
- 線上留言表單。
- 提交留言需通過防機器人驗證。","#### 聯絡資訊
- 公司名稱
- 聯絡地址
- 聯絡電話
- 客服信箱
- 營業時間
#### 留言表單
- 姓名
- 聯絡電話
- Email
- 諮詢品牌（如 TOTO、HCG 等）
- 留言內容"
基本,留言查看,後台,"查看使用者於前台提交的所有諮詢留言，協助專員快速回覆。
- 顯示姓名、電話、Email 與諮詢品牌等欄位。
- 完整顯示留言詳細內容。
- 狀態標示（未處理／已處理）。
- 內部備註，僅供後台管理使用。",
基本,防機器人留言驗證,系統,安裝 reCAPTCHA 套件，使用者留言時進行防機器人驗證。,
基本,Sitemap XML,系統,系統每日自動更新 Sitemap XML 檔案，包含所有前台頁面或後台新增的頁面。可用於向 Google 提交，主動申請爬蟲抓取網站頁面。,
基本,404,頁面,使用者誤入不存在的頁面位置，引導至 404 頁面引導返回首頁，有助於 SEO 加分。,
靜態頁面,關於我們,頁面,介紹誠衛浴的品牌故事、經營理念及代理品牌的相關認證資訊。,
靜態頁面,購物須知,頁面,呈現安裝須知、配送運費標準及退換貨政策等資訊圖文。,
靜態頁面,隱私權政策,頁面,呈現資訊的靜態頁面圖文。,
產品,產品列表,頁面,清單頁面陳列衛浴設備產品，可使用篩選器快速尋找商品。,"#### 清單與篩選
- 產品名稱
- 品牌標籤（TOTO／OVO／HCG／CAESAR）
- 產品分類（馬桶／面盆／龍頭等）
- 圖片
- 售價"
產品,產品內頁,頁面,進入衛浴產品頁面查看詳細規格尺寸、材質，以及加入購物車按鈕。,"- 產品名稱
- 代理品牌
- 圖片／多張圖輪播
- 售價
- 詳細介紹（圖文）
- 規格表（尺寸／材質／型號）
- 面板／顏色選擇"
產品,產品分類設定,後台,"設定產品的分類，供編輯管理內容時選擇。
- 支援品牌分類（如 TOTO、HCG）。
- 支援設備分類（如智慧馬桶、獨立浴缸）。",
產品,產品規格設定,後台,設定衛浴設備的共通規格屬性（例如：顏色、尺寸、安裝管距），供建立產品時選擇。,
產品,產品管理,後台,"編輯管理產品的資料欄位與內容。
- 選擇品牌與設備分類。
- 選擇規格屬性與設定對應金額。
- 編輯產品資料與圖片。
- 設定上下架狀態。",
