模組,項目,分類,說明,頁面欄位
活動,活動管理,後台,後台最核心的專案管理列表與詳細設定。包含預先提醒管理者開啟 AWS Load Balance 負載平衡設定，以應對大流量。提供活動基本資料之新增、編輯、刪除，選擇歸屬客戶公司，預先建立參加者(逐筆或匯入)，設定參加表單欄位，指定攤商與配發點數，指定關卡與關主並設定通關條件，以及匯出各類報表等功能動線。,"- 活動名稱
- 活動日期與時間
- 活動地點
- 歸屬客戶公司選單
- 啟用攤商清單
- 分配攤商點數數值
- 啟用關卡清單
- 及格通關數量設定
- 開放填寫之自訂欄位清單"
活動,查看參加者,後台,依附於活動管理內的次級管理項，用於檢視單一活動內的所有參加者名冊。可檢視個別參加者明細與相關紀錄，並提供設定放棄抽獎資格等狀態切換之操作動線。,"- 參加者姓名
- 員工編號/識別碼
- 部門
- 年資
- 聯絡資訊 (Email/電話)
- 報到狀態
- 報到專屬 QR Code
- 剩餘點數
- 點數發放與消費紀錄明細
- 抽獎資格狀態 (是/否)"
活動,報到 QR Code,系統,提供統一的報到專用 QR Code 供影印或展示在現場。參加者自行使用裝置掃描該 QR Code 即達成報到狀態，進行進場分流。,
活動,離場 QR Code,系統,提供活動離場專屬之 QR Code，參加者離場時掃描即可記錄其離場時間狀態。,
對象,客戶公司管理,後台,管理所有舉辦活動的客戶公司端資訊，供後續建立活動時作為歸屬綁定選擇。提供新增、編輯、刪除客戶公司之功能動線。,"- 公司名稱
- 統一編號
- 聯絡人姓名
- 聯絡人電話
- 聯絡人 Email
- 備註"
對象,攤商管理,後台,由後台預先新增管理所有合作之攤商資訊。提供新增、編輯、刪除攤商，設定其帳號密碼，以及選擇商店類型(一般/公益)之功能動線。,"- 攤商名稱
- 負責人姓名
- 聯絡電話
- 登入帳號
- 登入密碼
- 商店類型 (一般攤商/公益攤商)"
對象,關卡管理,後台,建立專案內所有可能的遊戲關卡。提供新增、編輯、刪除關卡之功能動線。,"- 關卡名稱
- 關卡說明/規則
- 狀態 (啟用/停用)"
對象,關主管理,後台,建立所有擔任關主之工作人員帳號，供每個遊戲關卡指派多位關主。提供新增、編輯、刪除關主與其密碼設定之功能動線。,"- 關主姓名
- 登入帳號
- 登入密碼
- 聯絡電話
- 所屬關卡 (選項)"
對象,獎項模板,後台,預先建立常用之抽獎獎項模板（如頭獎等級），供建立新活動時快速套用。支援新增、編輯、刪除模板之功能動線。,"- 模板名稱
- 獎項名稱
- 獎品內容/說明
- 名額數量預設值
- 獎項圖片"
參加者,參加者首頁,頁面,為報名的參加者呈現參與活動所需的核心資訊與狀態。提供通往個人資料、消費紀錄、掃碼付款與通關驗證之功能入口與動線。,"- 參加者姓名
- 報到狀態標示
- 抽獎得獎結果提示
- 關卡通關進度 (已通關數/總需通關數)
- 剩餘一般點數
- 剩餘公益點數
- 每人專屬 QR Code (供被掃)
- 掃描鏡頭啟用按鈕 (自行掃碼用)"
