項目,分類,模組,說明,頁面欄位
首頁,頁面,基本,"首頁作為平台的「入口導流」及「重要資訊看板」，核心目標是讓受眾一眼掌握關鍵資訊，並快速導向主要功能。
- 主視覺區塊（大標題／副標題／敘述）。
- 三大主要入口卡片（競標專案／採購需求／現貨商店），開頭就說明平台的主要服務。
- 競標專案區塊，最新 N 則清單搭配說明文字。
- 採購需求區塊，最新 N 則清單搭配說明文字。
- 現貨商店區塊，最新 N 個商品搭配商品分類。
- 呼籲註冊會員區塊，簡單規則說明及註冊平台的好處。
- FAQ 區塊，放上平台規則、競標規則、設備分級規則、聯絡資訊、交易貨幣以美元為主。","#### 主視覺區塊
- 大標題／副標題／敘述說明
- 行動呼籲按鈕
- 三大服務卡片及連結（競標專案／採購需求／現貨商店）
#### 競標專案區塊（最新4則）
- 競標專案標題／總設備數量／品牌
- 貨幣／競標模式
#### 採購需求區塊（最新4則）
- 競標專案標題／總設備數量／品牌
- 貨幣
#### 現貨商店區塊（最新N則）
- 商品外觀縮圖
- 商品名稱／規格
- 設備分級（New／A／B／C）
- 金額
#### 服務介紹區塊
- 供應商申請競標專案
- 採購商申請採購需求
- 重要條款（設備分級表／競標規則及條款／服務條款）
- 聯絡我們 
#### 呼籲註冊會員區塊
- 文案
- 註冊按鈕"
聯絡我們,頁面,基本,"提供聯絡資訊與聯絡管道。
- 聯絡資訊。
- 留言表單。
- 提交留言需通過防機器人驗證。","#### 聯絡資訊
- 公司名稱
- 聯絡地址
- 聯絡電話
- 客服信箱
- 營業時間
#### 留言表單
- 姓名
- 公司名稱
- 聯絡電話
- Email
- 主旨
- 留言內容"
留言查看,後台,基本,"查看使用者於前台提交的所有留言，協助快速分類、判讀與追蹤處理狀態。
- 顯示姓名、電話或 Email 等欄位。
- 完整顯示留言詳細內容。
- 狀態標示（未處理／已處理）。
- 內部備註，僅供後台管理使用，不顯示於前台。",
防機器人留言驗證,系統,基本,安裝 reCAPTCHA 套件，使用者留言時進行防機器人驗證。,
Sitemap XML,系統,基本,系統每日自動更新 Sitemap XML 檔案，包含所有前台頁面或後台新增的頁面。可用於向 Google 提交，主動申請爬蟲抓取網站頁面。,
404,頁面,基本,使用者誤入不存在的頁面位置，引導至 404 頁面引導返回首頁，有助於 SEO 加分。,
美元匯率,後台,基本,"設定美元匯率，供競標專案和現貨商店換算幣值。可以新增無限組匯率，系統認定最新的那組。
- 新增、刪除、編輯。
- 生效日期。
- 美元匯率。",
競標專案列表,頁面,競標專案,"列出所有競標專案，點擊進入操作競標動線。僅註冊會員可以進入查看內頁。
- 標題區塊。
- 總計交易設備數量。
- 篩選器。
- 競標專案清單。","#### 篩選器
- 設備數量
- 品牌（如 Apple 或 Samsung 等）
- 標籤（無／新上架／倒數 24h／倒數 48h）
#### 清單
- 狀態（正在投標／結束／取消）
- 競標名稱
- 競標編號
- 交易貨幣
- 競標模式（by Total／by SKU）
- 設備數量與品牌
- 標籤（無／新上架／倒數 24h／倒數 48h）
- 開始日期時間
- 截止日期時間"
競標專案內頁,頁面,競標專案,"競標專案詳細資訊。
- 標題區塊。
- 起訖日期與倒數。
- 下載 Excel 範例格式與上傳。
- 產品清單與投標金額。
- 提交競標按鈕。
- 設備分級表重要提醒區塊。","#### 頁面通用
- 狀態（正在競標／結束／取消）
- 競標名稱
- 競標編號
- 競標模式（by Total／by SKU）
- 交易貨幣
- 出貨條件（FOB／CIF／ETA／ETD）
- 本標案得標者數量（N位）
- 截止前可否修改（可修改／不可修改）
- 得標者匯款天數（N日內）
- 開始日期時間
- 截止日期時間
- Excel 範例格式（系統根據清單 Table 自動產生）
- 設備分級表（廠商上傳 or 平台公版）
#### 產品規格清單 Table
- 產品
- 規格
- 分級
- 機況備註
- 數量
- 投標單價
- 投標數量
- 小計"
投標確認,頁面,競標專案,類似確認結帳頁面，再次列出競標專案內頁的資訊，以及使用者輸入的投標金額。確認提交競標按鈕的上方列出同意條款 CheckBox。,
投標完成,頁面,競標專案,提示會員已經成功送出投標。顯示競標專案概略資訊，放置行動按鈕。,
競標專案管理,後台,競標專案,"上架與編輯管理競標專案的資料欄位與內容。選擇得標者則進入投標紀錄進行操作。
#### 列表
- 新增、刪除、編輯。
- 概略資訊清單。
- Excel 匯入上架競標專案概略資訊。
- Excel 匯出競標專案概略資訊。
#### 內頁
- 資料欄位編輯。
- 設定起訖日期時間。
- 設定投標保證金。
- 設定匯款天數（得標後 N 日）及得標通知內容。
- 設定截止日前是否允許修改及取消。
- Excel 匯入單個競標專案的競標產品規格。",
競標專案管理 > 投標紀錄,後台,競標專案,"某筆競標專案管理的第二層管理項，查看會員參與投標的投標紀錄。
#### 列表
- 概略資訊清單。
- 截止日後選擇得標買家（或都沒得標）。
- Excel 匯出投標紀錄概略資訊。
#### 內頁
- 查看詳細資料（包含產品投標金額）。",
競標專案規則邏輯,系統,競標專案,"競標專案的系統規則邏輯。
- 投標截止日前可以修改金額，或者撤回取消。截止日就無法再次操作，僅能等待投標結果。
- 如果保證金設定 $1 以上，投標者必須要在截止日前上傳保證金水單。
- 如果沒有上傳廠商的設備分級表，則系統預設帶入平台的公版設備分級表。
- 截止後的競標專案僅能於列表顯示概略資訊，無法再次點擊進入查看詳細內容。
- 訪客僅能看到列表頁面的部分資訊，隱藏競標編號、貨幣、競標模式、起訖日期。訪客點擊進入內頁會跳出登入 Modal。",
供應商申請競標專案 Step 1,頁面,供應商申請競標專案,"供應商申請競標專案拆分為 Step 1 和 Step 2 兩個頁面，本頁面 Step 1 先選擇基本設定。
- 基本資訊
- 規則條件","#### 基本資訊
- 競標名稱
- 起訖日期
- 備註
#### 規則條件
- 交易貨幣
- 競標模式（by Total／by SKU）
- 出貨條件
- 投標保證金
- 截止前是否允許修改出價
- 截止前是否允許取消投標
- 得標者需於得標後幾日內完成匯款"
