模組,項目,分類,說明,頁面欄位
互動,私訊互動,系統,"採購商可透過供應商頁面發起私訊對話，雙方可即時收發訊息。系統於訊息未讀超過 3 天後，自動通知管理者及未讀方。
- 採購商主動發起聯繫，無需先有詢價關係
- 支援 WebSocket 即時推播
- 3 天未讀未回覆後觸發通知，只提醒一次
- 通知對象：管理者（純通知）及未讀取訊息的人
- 支援圖片（jpg/png）及 PDF 附件，單檔上限 5MB",
通知提醒,新品快訊,系統,"定期將近期審核通過的新產品，透過 Email 通知方案有效的採購商。
- 通知對象：僅限方案有效（付費中）的採購商
- 通知頻率：每 7 天（後台可調整）
- 不可退訂，強制接收
- 新上架定義：以審核通過日期（permitted_at）為準
- 天數設定：與「首頁新品專區」共用同一個後台設定",
產品,首頁新品專區,頁面,"首頁新增「新品專區」區塊，展示近期新上架產品。無新品時自動隱藏。
- 天數設定：與「新品快訊」共用同一個後台設定
- 查詢依據：permitted_at 欄位
- 無新品時自動隱藏此區塊
- 點擊查看更多可連結到產品列表頁",
供應商,5 星 Plus 專區,頁面,"5 星供應商的「廠區衛生」區塊顯示「+」符號，點擊展開可下載的附件檔案。由後台管理員上傳，需經管理員審核開啟。
- 檔案綁定層級：供應商（SupplyEnterprise）層級
- 瀏覽/下載權限：採購商需申請過該廠區衛生分數後才能看到並下載
- 僅支援 PDF 格式，由後台管理員手動上傳
- 達 5 星後需管理員額外審核才能開啟功能；降星則隱藏不刪除，恢復 5 星自動重顯",
文件處理,PDF 浮水印,系統,"指定類型的 PDF 檔案下載時加上固定文字浮水印（Word / 圖片不處理）。
- 需處理檔案：產品責任險、產品合規附件、管理制度附件、實地查證表、5 星 Plus 附件
- 不處理檔案：使用者同意書、平台使用指南、服務相關附件等",
產品,新增「用途」標籤,後台,"後台管理「用途」標籤，每個產品可複選多個標籤。前台可依標籤搜尋/篩選。
- 標籤結構扁平，僅管理員能建立與管理
- 供應商僅能從既有標籤中複選，不可自建
- 前台搜尋支援用途標籤篩選",
報表,數據報表（總覽）,後台,"後台新增「數據報表」頁面，支援日期區間篩選，含多項子報表，全部支援 Excel 匯出。
- 產品數量定義：該期間內審核通過（permitted）的產品總數
- 文件下載次數顯示累計總數即可
- 漏斗顯示方式包含表格與圖表",
報表,會員註冊報表,後台,篩選日期區間內，通過註冊審核的新會員數量。,
報表,有效會員報表,後台,"篩選區間內的每日有效會員數量。
- 針對篩選區間內的每一天，計算該日方案仍有效的會員數
- 顯示方式：日期與有效會員數表格加折線圖",
報表,會員方案歷程報表,後台,顯示會員每次啟用的方案名稱及起迄日。可依會員搜尋。,
報表,會員方案漏斗報表,後台,"顯示篩選期間內各方案的分佈數量及百分比。
- 呈現方式：數據表格加圖表",
報表,產品數量報表,後台,"篩選期間內，狀態為 permitted 的產品總數。",
報表,文件下載次數報表,後台,每個文件的累計被下載次數統整。,
