項次,分類,原始項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
1,Medium,6,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B0%8F%E6%9C%8B%E5%8F%8B%E7%8E%A9%E9%81%8A%E6%88%B2%E5%AD%B8%E7%A8%8B%E5%BC%8F%E8%A8%AD%E8%A8%88%E6%89%93%E9%80%A0%E6%9C%AA%E4%BE%86%E8%B3%88%E4%BC%AF%E6%96%AF
參數:小朋友玩遊戲學程式設計打造未來賈伯斯(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
2,Medium,8,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E7%89%A9%E8%81%AF%E7%B6%B2%E5%9C%A8%E7%B4%85%E4%BB%80%E9%BA%BC%E4%BB%8A%E5%B9%B4%E9%9B%BB%E8%85%A6%E5%B1%955%E5%A4%A7%E8%B6%A8%E5%8B%A2%E6%95%99%E4%BD%A0%E7%A7%92%E6%87%82%E6%99%BA%E6%85%A7%E7%94%9F%E6%B4%BB
參數:物聯網在紅什麼今年電腦展5大趨勢教你秒懂智慧生活(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
3,Medium,10,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/ar%E9%AB%94%E9%A9%97%E5%92%96%E5%95%A1%E5%BB%B3-%E4%B8%AD%E4%BF%9D%E5%A4%A7%E5%AE%89%E9%A4%A8%E6%8E%A8%E7%89%A9%E8%81%AF%E7%B6%B2%E5%AF%A6%E5%A2%83%E7%A7%80
參數:ar體驗咖啡廳-中保大安館推物聯網實境秀(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
4,Medium,14,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B1%85%E5%AE%B6%E6%A9%9F%E5%99%A8%E4%BA%BA%E8%B6%85%E5%90%B8%E7%9D%9B%E6%99%BA%E6%85%A7%E5%BD%B1%E5%83%8F%E8%BE%A8%E8%AD%98%E5%8A%9F%E8%83%BD%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E5%8F%AF%E7%B5%B1%E8%A8%88%E4%BA%BA%E6%B5%81%E5%81%B5%E6%B8%AC%...
參數:居家機器人超吸睛智慧影像辨識功能網路攝影機可統計人流偵測身高(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
5,Medium,17,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%9C%80%E6%99%BA%E6%85%A7%E7%9A%84%E9%96%80%E5%B8%82%E6%A9%9F%E5%99%A8%E4%BA%BA%E7%95%B6%E5%BA%97%E5%93%A1%E9%99%AA%E7%86%9F%E5%AE%A2%E8%81%8A%E5%A4%A9%E9%82%84%E5%B9%AB%E5%BF%99%E4%BF%83%E9%8A%B7%E8%B3%A3%E9%BA%B5%E5%8C%85%E2%8B%AF
參數:最智慧的門市機器人當店員陪熟客聊天還幫忙促銷賣麵包⋯(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
6,Medium,20,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/b2b%E9%9B%BB%E5%AD%90%E5%8C%96%E5%B0%88%E5%AE%B6%E5%A4%A9%E6%B2%B3%E9%9B%BB%E8%A8%8A%E8%AE%93%E4%BC%81%E6%A5%AD%E4%BA%A4%E6%98%93%E8%AE%8A%E7%B0%A1%E5%96%AE%E4%BA%86
參數:b2b電子化專家天河電訊讓企業交易變簡單了(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
7,Medium,26,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%9E%97%E6%AD%A3%E4%BF%A0%E7%82%BA%E6%84%9B%E5%A5%B3%E5%AE%88%E8%AD%B7%E5%94%90%E5%AF%B6%E5%AF%B621%E5%B9%B4%E7%9C%8B%E5%82%BB%E5%82%BB%E6%84%9B%E4%BD%A0%E6%84%9F%E5%8B%95%E6%B7%9A%E5%B4%A9
參數:林正俠為愛女守護唐寶寶21年看傻傻愛你感動淚崩(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
8,Medium,29,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E6%9C%8D%E5%8B%99%E5%B7%A5%E7%A8%8B%E5%B8%AB%E6%B7%B1%E5%9D%91%E9%81%87%E8%BB%8A%E7%A6%8D%E5%8B%87%E6%95%91%E5%82%B7%E8%80%85%E7%B6%B2%E5%8F%8B%E8%87%89%E6%9B%B8%E7%8B%82%E5%88%B7%E8%AE%9A%E6%B1%82%E8%A1%A8%E6%8F%9A
參數:中保服務工程師深坑遇車禍勇救傷者網友臉書狂刷讚求表揚(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
9,Medium,32,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E3%80%8C%E5%8F%B0%E7%81%A3%E5%86%B0%E6%B2%99%E5%A7%8B%E7%A5%96%E3%80%8D%E9%99%B3%E5%85%89%E5%AE%99%E5%B0%88%E8%B3%A3%E5%A5%BD%E9%A3%9F%E6%9D%90%E4%BA%94%E6%98%9F%E7%B4%9A%E9%A3%AF%E5%BA%97%E9%80%A3%E9%8E%96%E5%92%96%E5%95%A1%E9%83%BD%E6%89%BE%E4%BB%96%...
參數:「台灣冰沙始祖」陳光宙專賣好食材五星級飯店連鎖咖啡都找他下單(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
10,Medium,34,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%B8%AD%E4%BF%9D%E7%A7%919917%E7%87%9F%E9%81%8B%E7%A9%A9%E5%81%A5-%E8%82%A1%E6%9D%B1%E6%9C%83%E9%80%9A%E9%81%8E%E9%85%8D%E7%99%BC%E7%8F%BE%E9%87%91%E8%82%A1%E5%88%A957%E5%85%83%E8%82%A1%E7%A5%A8%E8%82%A1%E5%88%A905%E5%85%83
參數:中保科9917營運穩健-股東會通過配發現金股利57元股票股利05元(Page)",無限+生活誌,主機標頭注入,The web application performs a redirection to an external site,Web 應用程式會執行重新導向至外部網站,"Validate and sanitize the user supplied inputs properly
","適當地驗證並消毒使用者輸入的內容
",Medium,有可能透過 Web 快取毒害來破壞網站內容有可能說服無經驗而易受騙的使用者提供機密性資訊，如：使用者名稱、密碼、信用卡號碼、社會保險號碼等等,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
