模組,項目名稱,說明,分類
基本,首頁,主視覺、重要訊息及各項主要連結。,頁面
基本,首頁管理,設計輪播圖、長條輪播、分割區塊等幾套模板供使用。,後台
基本,聯絡我們,提供聯絡資訊與留言表單。,頁面
基本,留言查看,查看留言內容與資料。,後台
基本,reCAPTCHA,安裝機器人驗證套件 reCAPTCHA、使用者留言時驗證。,系統
基本,即時客服,Messenger、LINE。,系統
文件繪製,Excel 格式,Excel 匯出的格式繪製，用於會員資料匯出、訂單匯出。,系統
老師,設定副管理者,設定管理者資料、設定帳號密碼、設定權限、停權復權。,後台
靜態頁面,靜態頁面,靜態頁面文案。,頁面
靜態頁面,靜態頁面,靜態頁面文案。,頁面
靜態頁面,靜態頁面,靜態頁面文案。,頁面
靜態頁面,靜態頁面,靜態頁面文案。,頁面
靜態頁面,靜態頁面,靜態頁面文案。,頁面
靜態頁面,404,靜態頁面文案。如有使用者誤入不存在的位置須導引至 404，有助於 SEO 加分。,頁面
常見問題,常見問題,這邊是網站通用的常見問題，例如系統問題、付費退款問題等。,頁面
常見問題,常見問題分類設定,管理常見問題的分類名稱。,後台
常見問題,常見問題管理,選擇分類、輸入問題與答案。,後台
師資陣容,師資陣容列表,展示平台的師資，列出照片與概略資訊。,頁面
師資陣容,師資陣容內頁,介紹師資詳細內容。,頁面
師資陣容,師資陣容管理,管理師資欄位資料、編輯器。,後台
課程,課程列表,展示平台販售的課程，列出課程封面圖片與概略資訊。,頁面
課程,直播課程內頁,"- 直播課程為即時互動教學，安排直播時間進行直播。
- 內容包含課程資訊、金額、課程常見問題等。
- 購買後會收到系統信件，內容為歡迎語及直播連結。",頁面
課程,影片課程內頁,"- 影片課程為線上影片教學，影片將分為多個章節與單元。
- 內容包含課程資訊、前導片、試看片、章節單元、課程常見問題等。
- 購買後可以點擊觀看影片。",頁面
課程,課程分類設定,"管理課程的分類名稱。
「直播∕影片」為屬性，而分類類似於標籤，例如影片課程還有分為油墨畫、素描、攝影等。",後台
課程,直播課程管理,選擇分類、管理部課程資料、寫入直播連結、詳細內容編輯器。,後台
課程,影片課程管理,選擇分類、管理部課程資料、設定多個大章節與小單元並填入對應的影片連結、詳細內容編輯器。,後台
課程,直播課程規格,"- 直播可以拆分多個場次。例如同一門課分為上午場和下午場。
- 直播使用 Zoom 或 Google Meet 等第三方功能。",系統
課程,影片課程規格,課程可以拆分多個章節，章節底下再拆分多個單元。,系統
課程,影片課程嵌入第三方,影片課程嵌入第三方串流服務 Vimeo。,系統
部落格,部落格列表,最新消息等部落格文章的總覽列表。,頁面
部落格,部落格內頁,部落格文章詳細內容。,頁面
部落格,部落格分類設定,管理文章的分類名稱。,後台
部落格,部落格管理,選擇分類、管理部落格文章資料、編輯器。,後台
登入註冊,註冊,會員註冊欄位、Email 驗證資料。,頁面
登入註冊,註冊成功,會員註冊成功的文案。,頁面
登入註冊,登入,帳號密碼一般登入或第三方登入。,頁面
登入註冊,忘記密碼,輸入 Email 後，系統將發送重設密碼連結至會員 Email。,頁面
登入註冊,重設密碼,透過忘記密碼發送至 Email 的連結重設密碼，輸入新密碼、新密碼確認。,頁面
登入註冊,登入註冊動線,驗證身份、建立資料、密碼加密處理。,系統
登入註冊,忘記密碼動線,比對 Email、系統寄信、啟動重設密碼。,系統
登入註冊,第三方登入,"Facebook、Google、Apple。
=> 沒特別要求不要 apple 吧",系統
會員,會員中心,修改基本資料、修改密碼及顯示重要資訊。,頁面
會員,我的課程,已購買的課程列表，點擊進入該課程內頁。,頁面
會員,最愛收藏,收藏想購買的直播課程與影片課程。,頁面
會員,訂單記錄列表,會員相關消費訂單紀錄及付款狀態。未完成付款訂單可點擊結帳按鈕付款。,頁面
會員,訂單記錄內容,訂單詳細資訊及商品詳細內容。,頁面
會員,會員管理,設定會員資料、設定帳號密碼、查看訂單、停權復權。,後台
會員,會員模組,登入身份辨識、會員資料儲存與設定。,系統
購物結帳,訂單管理,查詢訂單詳細資料與會員資料、調整訂單狀態。,後台
購物結帳,購物車結帳動線,加入購物車、購物車商品轉拋結帳、結帳後生成訂單、訂單生命週期。,系統
